URL Antiga,URL Nova Sugerida,Tipo,Tráfego/mês (GA4),Conversões (GA4),Cliques (GSC),Impressões (GSC),Posição Média (GSC),Prioridade,Status 301,Notas
https://ospcontabilidade.com.br/,/,Home,,,,,,,ALTA,Pendente,Homepage principal
https://ospcontabilidade.com.br/servicos-contabeis/assessoria-tributaria-fiscal/,/solucoes/tributa360,Solução,,,,,,,ALTA,Pendente,TRIBUTA360 - Assessoria Tributária
https://ospcontabilidade.com.br/servicos-contabeis/gestao-empresarial/,/solucoes/gestao360,Solução,,,,,,,ALTA,Pendente,GESTÃO360 - Gestão Empresarial
https://ospcontabilidade.com.br/servicos-contabeis/contador-online/,/solucoes/contabilidade-digital,Solução,,,,,,,ALTA,Pendente,Contabilidade Digital
https://ospcontabilidade.com.br/servicos-contabeis/consultoria-e-treinamento/,/solucoes/consultoria,Solução,,,,,,,ALTA,Pendente,Consultoria e Treinamento
https://ospcontabilidade.com.br/servicos-contabeis/valuation/,/solucoes/valuation,Solução,,,,,,,ALTA,Pendente,Valuation
https://ospcontabilidade.com.br/servicos-contabeis/assessoria-trabalhista/,/solucoes/trabalhista,Solução,,,,,,,ALTA,Pendente,Assessoria Trabalhista
https://ospcontabilidade.com.br/segmentos/contabilidade-especializada-em-construcao-civil/,/segmentos/construcao-civil,Segmento,,,,,,,ALTA,Pendente,Construção Civil
https://ospcontabilidade.com.br/segmentos/contabilidade-farmacia/,/segmentos/farmacia,Segmento,,,,,,,ALTA,Pendente,Farmácia
https://ospcontabilidade.com.br/segmentos/contabilidade-para-comercio/,/segmentos/comercio,Segmento,,,,,,,ALTA,Pendente,Comércio
https://ospcontabilidade.com.br/segmentos/contabilidade-especializada-em-ecommerce/,/segmentos/ecommerce,Segmento,,,,,,,ALTA,Pendente,E-commerce
https://ospcontabilidade.com.br/segmentos/contabilidade-especializada-em-supermercado/,/segmentos/supermercado,Segmento,,,,,,,ALTA,Pendente,Supermercado
https://ospcontabilidade.com.br/segmentos/assessoria-contabil-para-terceiro-setor/,/segmentos/terceiro-setor,Segmento,,,,,,,ALTA,Pendente,Terceiro Setor
https://ospcontabilidade.com.br/segmentos/contabilidade-especializada-em-industria/,/segmentos/industria,Segmento,,,,,,,ALTA,Pendente,Indústria
https://ospcontabilidade.com.br/segmentos/contabilidade-especializada-em-clinicas/,/segmentos/clinicas,Segmento,,,,,,,ALTA,Pendente,Clínicas
https://ospcontabilidade.com.br/trabalhe-conosco/,/trabalhe-conosco,Institucional,,,,,,,MÉDIA,Pendente,Carreiras
https://ospcontabilidade.com.br/politica-de-privacidade/,/privacidade,Institucional,,,,,,,MÉDIA,Pendente,Política de Privacidade
https://ospcontabilidade.com.br/indicacao/,/indicacao,Institucional,,,,,,,MÉDIA,Pendente,Programa de Indicação
https://ospcontabilidade.com.br/pagina-de-obrigado-nova/,/obrigado,Thank You,,,,,,,BAIXA,Pendente,Página de agradecimento
https://ospcontabilidade.com.br/pagina-de-obrigado-gads/,/obrigado,Thank You,,,,,,,BAIXA,Pendente,Thank You Google Ads
https://ospcontabilidade.com.br/teste-codigo-imagem/,/,Teste,,,,,,,BAIXA,Pendente,Deletar - página de teste
https://ospcontabilidade.com.br/teste-ac-cloudfunctions/,/,Teste,,,,,,,BAIXA,Pendente,Deletar - página de teste
